EXAM NO,SCORE
YW/13/0007,44
YW/13/0008,41
YW/13/0009,35
YW/13/0012,43
YW/13/0018,43
YW/13/0024,26
YW/13/0025,31
YW/13/0028,34
YW/13/0042,33
YW/13/0052,35
YW/13/0053,37
YW/13/0054,39
YW/13/0057,40
YW/13/0060,67
